epoch,train_loss,valid_loss,accuracy,f_beta,kappa_score,top_k_accuracy,precision,recall,time
0,2.114617,1.964619,0.565431,0.565431,0.547233,0.867985,0.565431,0.565431,19:37
1,1.999038,1.873512,0.596129,0.000000,0.572760,0.889523,0.000000,0.596129,19:10
2,1.902322,1.861992,0.608202,0.608202,0.607695,0.889705,0.608202,0.608202,19:05
3,1.926567,1.886314,0.608324,0.000000,0.592266,0.887460,0.000000,0.608324,19:43
4,1.863759,1.847611,0.615422,0.615422,0.606648,0.889644,0.615422,0.615422,19:10
5,1.821138,1.832935,0.621307,0.621307,0.593208,0.893466,0.621307,0.621307,19:25
6,1.770953,1.786905,0.632348,0.632348,0.599995,0.897349,0.632348,0.632348,19:37
7,1.734392,1.734282,0.657587,0.657587,0.640427,0.908269,0.657587,0.657587,19:39
8,1.697907,1.754809,0.646788,0.000000,0.623361,0.903355,0.0000,0.646788,19:09
9,1.664760,1.702279,0.657769,0.657769,0.640731,0.909725,0.657769,0.657769,19:56
10,1.584802,1.708224,0.658193,0.658193,0.635123,0.910878,0.658193,0.658193,19:35
11,1.568314,1.699664,0.662561,0.662561,0.636609,0.909482,0.662561,0.662561,22:16
12,1.571021,1.712074,0.663896,0.663896,0.635983,0.910271,0.663896,0.663896,20:01
13,1.489401,1.706789,0.668932,0.668932,0.637324,0.907662,0.668932,0.668932,19:17
14,1.483109,1.686298,0.673906,0.673907,0.640426,0.912031,0.673906,0.673906,19:22
15,1.436920,1.697466,0.668871,0.668871,0.662381,0.908451,0.668871,0.668871,19:45
16,1.391840,1.671043,0.685069,0.685069,0.656353,0.917430,0.685070,0.685070,19:35
17,1.349077,1.665856,0.683735,0.683735,0.659349,0.911181,0.683735,0.683735,19:15
18,1.320203,1.717742,0.676333,0.676333,0.661464,0.904811,0.676333,0.676333,20:18
19,1.320834,1.698668,0.676576,0.676576,0.654459,0.906874,0.676576,0.676576,19:33
20,1.228100,1.708187,0.682339,0.682339,0.669050,0.906631,0.682339,0.682339,19:32
21,1.251115,1.692155,0.688710,0.688709,0.667452,0.907177,0.688710,0.688710,19:52
22,1.207415,1.696971,0.693563,0.693563,0.676525,0.909118,0.693563,0.693563,19:14
23,1.165528,1.714311,0.684281,0.684281,0.656819,0.905842,0.684281,0.684281,19:19
24,1.115106,1.712575,0.689741,0.689741,0.645343,0.901353,0.689741,0.689741,20:08
25,1.126638,1.707289,0.699084,0.699084,0.682698,0.902324,0.699084,0.699084,19:19
26,1.105401,1.681313,0.703998,0.703998,0.683312,0.910757,0.703998,0.703998,20:15
27,1.013426,1.753622,0.689256,0.689256,0.670408,0.896681,0.689256,0.689256,20:02
28,1.047216,1.696780,0.698659,0.698659,0.670607,0.908087,0.698659,0.698659,19:22
29,0.989673,1.677097,0.708852,0.708851,0.685754,0.905478,0.708852,0.708852,19:34
30,0.989642,1.699720,0.698841,0.698841,0.671895,0.901474,0.698841,0.698841,19:51
31,0.928532,1.714748,0.705090,0.705090,0.677848,0.905236,0.705090,0.705090,19:25
32,0.911439,1.667356,0.708245,0.708245,0.677814,0.908876,0.708245,0.708245,19:22
33,0.890972,1.658501,0.713826,0.713826,0.689250,0.908997,0.713826,0.713826,20:01
34,0.857658,1.646726,0.718134,0.718134,0.695836,0.908512,0.718134,0.718134,19:21
35,0.856533,1.638681,0.719105,0.719105,0.697201,0.909179,0.719105,0.719105,19:22
36,0.828291,1.626619,0.719893,0.719893,0.693454,0.911849,0.719893,0.719893,20:16
37,0.829419,1.622899,0.721107,0.721107,0.698223,0.912455,0.721107,0.721107,19:31
38,0.828001,1.620227,0.722077,0.722077,0.698485,0.912395,0.722077,0.722077,19:30
39,0.825092,1.618953,0.721289,0.721289,0.698229,0.911849,0.721289,0.721289,20:04
