'epoch','train_loss','valid_loss','accuracy','f_beta','kappa_score','precision','recall',time
'0','1.948719','1.794697','0.619547','0.619547','0.605123','0.619547','0.619547',19:58
'1','1.841208','1.713059','0.648911','0.648911','0.637896','0.648911','0.648911',19:59
'2','1.812960','1.676672','0.663653','0.663653','0.648499','0.663653','0.663653',20:03
'3','1.760334','1.652212','0.671844','0.671844','0.647034','0.671844','0.671844',20:05
'4','1.693046','1.650760','0.678093','0.678093','0.648742','0.678093','0.678093',20:01
'5','1.648861','1.686613','0.664139','0.664139','0.642928','0.664139','0.664139',20:04
'6','1.639389','1.633204','0.678760','0.678760','0.645835','0.678760','0.678760',20:05
'7','1.587362','1.604967','0.689741','0.689741','0.652393','0.689741','0.689741',20:07
'8','1.585754','1.581775','0.697507','0.697507','0.671005','0.697507','0.697507',20:08
'9','1.511859','1.576776','0.703452','0.703452','0.682584','0.703452','0.703452',20:10
'10','1.442562','1.559306','0.709337','0.709337','0.671166','0.709337','0.709337',20:11
'11','1.388105','1.557336','0.708306','0.708306','0.685620','0.708306','0.708306',20:11
'12','1.395840','1.564235','0.711946','0.711946','0.681377','0.711946','0.711946',20:13
'13','1.358205','1.550799','0.718619','0.718619','0.695150','0.718619','0.718619',20:14
'14','1.323729','1.543474','0.721471','0.721471','0.703585','0.721471','0.721471',20:11
'15','1.266081','1.548525','0.719529','0.719529','0.689038','0.719529','0.719529',20:11
'16','1.255269','1.547741','0.722866','0.722866','0.687249','0.722866','0.722866',20:13
'17','1.216009','1.529705','0.727295','0.727295','0.700349','0.727295','0.727295',20:13
'18','1.166981','1.527545','0.732148','0.732148','0.704992','0.732148','0.732148',20:11
'19','1.136060','1.539825','0.730086','0.730085','0.698278','0.730085','0.730085',20:08
'20','1.123719','1.533900','0.730935','0.730935','0.696935','0.730935','0.730935',20:07
'21','1.090913','1.535517','0.733422','0.733423','0.703066','0.733423','0.733423',20:09
'22','1.087715','1.512816','0.737305','0.737305','0.712174','0.737305','0.737305',20:08
'23','1.044397','1.524680','0.740217','0.740217','0.713571','0.740217','0.740217',20:10
'24','1.006066','1.549198','0.738397','0.738397','0.721080','0.738397','0.738397',20:10
'25','0.995614','1.538920','0.738943','0.738943','0.714331','0.738943','0.738943',20:07
'26','0.964458','1.528579','0.740339','0.740339','0.711754','0.740339','0.740339',20:09
'27','0.955201','1.544240','0.742887','0.742887','0.718391','0.742887','0.742887',20:07
'28','0.933495','1.554581','0.741006','0.741006','0.715894','0.741006','0.741006',20:07
'29','0.883621','1.545580','0.743918','0.743918','0.717903','0.743918','0.743918',20:11
'30','0.859498','1.528035','0.750713','0.750713','0.722875','0.750713','0.750713',20:10
'31','0.843465','1.522264','0.751077','0.751077','0.724431','0.751077','0.751077',20:08
'32','0.818190','1.510978','0.756537','0.756537','0.729257','0.756537','0.756537',20:07
'33','0.800281','1.501254','0.758054','0.758054','0.727885','0.758054','0.758054',20:07
'34','0.771927','1.506647','0.760056','0.760056','0.734138','0.760056','0.760056',20:10
'35','0.764714','1.496002','0.763271','0.763271','0.738917','0.763271','0.763271',20:10
'36','0.763155','1.491497','0.766911','0.766911','0.736051','0.766911','0.766911',20:11
'37','0.757811','1.486755','0.768246','0.768246','0.741435','0.768246','0.768246',20:08
'38','0.753898','1.482695','0.768489','0.768489','0.738849','0.768489','0.768489',20:07
'39','0.746688','1.483079','0.768974','0.768974','0.741578','0.768974','0.768974',20:08
