epoch,train_loss,valid_loss,accuracy,f_beta,top_k_accuracy,kappa_score,recall,precision,time
0,3.015949,2.953173,0.404477,0.000000,0.735910,0.403433,0.000000,0.000000,09:18
1,2.907533,2.899562,0.418977,0.000000,0.746891,0.432457,0.000000,0.000000,12:45
2,2.932716,2.994735,0.389735,0.000000,0.727113,0.392989,0.000000,0.000000,08:31
3,2.988999,3.037120,0.388825,0.000000,0.711096,0.396405,0.000000,0.000000,07:24
4,3.097099,3.175274,0.342777,0.000000,0.689256,0.344487,0.000000,0.000000,07:04
5,3.025080,3.168359,0.346357,0.000000,0.674998,0.332110,0.000000,0.000000,06:56
6,3.083625,3.029243,0.384214,0.000000,0.719105,0.359263,0.000000,0.000000,06:58
7,2.982159,3.047555,0.380695,0.000000,0.703513,0.394776,0.000000,0.000000,06:58
8,2.987476,3.120295,0.364436,0.000000,0.688892,0.358746,0.000000,0.000000,06:58
9,2.956747,3.076242,0.368137,0.000000,0.705818,0.384773,0.000000,0.000000,06:56
10,2.920417,2.952716,0.403931,0.000000,0.731966,0.415850,0.000000,0.000000,06:56
11,2.906843,2.840495,0.429291,0.000000,0.760177,0.433370,0.000000,0.000000,06:58
12,2.954255,2.828946,0.433477,0.000000,0.758296,0.432317,0.000000,0.000000,06:57
13,2.777050,2.863446,0.432688,0.000000,0.763878,0.440081,0.000000,0.000000,06:57
14,2.770640,2.818222,0.438573,0.000000,0.766123,0.437761,0.000000,0.000000,06:57
15,2.716400,2.683785,0.471273,0.000000,0.797610,0.465516,0.000000,0.000000,06:55
16,2.701529,2.770204,0.450646,0.000000,0.775890,0.429613,0.000000,0.000000,06:56
17,2.688541,2.718590,0.472487,0.000000,0.789177,0.460328,0.000000,0.000000,06:57
18,2.599188,2.704295,0.470909,0.000000,0.789177,0.478644,0.000000,0.000000,06:57
19,2.578139,2.604151,0.499666,0.000000,0.814900,0.478861,0.000000,0.000000,06:57
20,2.603033,2.595898,0.502154,0.000000,0.816114,0.490995,0.000000,0.000000,06:55
21,2.559933,2.599115,0.507250,0.000000,0.817752,0.491040,0.000000,0.000000,06:56
22,2.547466,2.573259,0.510405,0.000000,0.819390,0.487446,0.000000,0.000000,06:57
23,2.497158,2.522294,0.520536,0.000000,0.827034,0.510770,0.000000,0.000000,06:57
24,2.476540,2.502854,0.527999,0.000000,0.829036,0.513402,0.000000,0.000000,06:57
25,2.424427,2.493983,0.537038,0.000000,0.834678,0.516268,0.000000,0.000000,06:55
26,2.404065,2.440960,0.546988,0.000000,0.840624,0.539354,0.000000,0.000000,06:57
27,2.402016,2.433681,0.551356,0.000000,0.847358,0.542940,0.000000,0.000000,06:56
28,2.373526,2.379749,0.561306,0.000000,0.850513,0.541655,0.000000,0.000000,06:55
29,2.353148,2.399003,0.560153,0.000000,0.850634,0.542293,0.000000,0.000000,06:57
30,2.288392,2.377468,0.566038,0.000000,0.852454,0.549504,0.000000,0.000000,06:56
31,2.279533,2.325068,0.582054,0.000000,0.862646,0.566000,0.000000,0.000000,06:55
32,2.266262,2.298028,0.588242,0.000000,0.868410,0.565533,0.000000,0.000000,06:57
33,2.211790,2.275206,0.595765,0.000000,0.871201,0.572681,0.000000,0.000000,06:57
34,2.167813,2.259950,0.603349,0.000000,0.874598,0.580673,0.000000,0.000000,06:58
35,2.137020,2.244083,0.606989,0.000000,0.876782,0.587235,0.000000,0.000000,06:55
36,2.127333,2.230006,0.612267,0.000000,0.879634,0.594995,0.000000,0.000000,06:55
37,2.120670,2.220151,0.613966,0.000000,0.879694,0.591089,0.000000,0.000000,06:57
38,2.082297,2.215122,0.615119,0.000000,0.880786,0.594147,0.000000,0.000000,06:55
39,2.076237,2.213126,0.615847,0.000000,0.880119,0.593539,0.000000,0.000000,06:57
